2018/08/31 14:14:24 [error] 27502#27502: *97 access forbidden by rule, client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /upload/05.pdf HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/smart-consumer/"
2018/08/31 14:39:58 [error] 27502#27502: *141 access forbidden by rule, client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /upload/09-kvartirnia-voprosi-opit-kemerovskoi-oblasti.pdf HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/smart-consumer/resources/"
2018/08/31 14:40:41 [error] 27502#27502: *141 access forbidden by rule, client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /upload/09-kvartirnia-voprosi-opit-kemerovskoi-oblasti.pdf HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/smart-consumer/resources/"
2018/08/31 14:41:44 [error] 4018#4018: *1 access forbidden by rule, client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /upload/09-kvartirnia-voprosi-opit-kemerovskoi-oblasti.pdf HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/smart-consumer/resources/"
2018/08/31 14:41:45 [error] 4018#4018: *1 access forbidden by rule, client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /upload/09-kvartirnia-voprosi-opit-kemerovskoi-oblasti.pdf HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/smart-consumer/resources/"
2018/08/31 14:41:45 [error] 4018#4018: *1 access forbidden by rule, client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /upload/09-kvartirnia-voprosi-opit-kemerovskoi-oblasti.pdf HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/smart-consumer/resources/"
2018/08/31 14:41:46 [error] 4018#4018: *1 access forbidden by rule, client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /upload/09-kvartirnia-voprosi-opit-kemerovskoi-oblasti.pdf HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/smart-consumer/resources/"
2018/08/31 14:41:46 [error] 4018#4018: *1 access forbidden by rule, client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /upload/09-kvartirnia-voprosi-opit-kemerovskoi-oblasti.pdf HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/smart-consumer/resources/"
2018/08/31 14:51:15 [error] 4191#4191: *95 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'CCaptcha' not found in /home/bayeer/Sites/garantpark/bxgkhbur.loc/public/include/online-reception.php on line 53" while reading response header from upstream, client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /online-reception/ HTTP/1.1", upstream: "fastcgi://unix:/home/bayeer/.phpbrew/php/php-5.6.37/var/run/php-fpm.sock:", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/news/mass-media/"
2018/08/31 14:51:18 [error] 4191#4191: *95 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'CCaptcha' not found in /home/bayeer/Sites/garantpark/bxgkhbur.loc/public/include/online-reception.php on line 53" while reading response header from upstream, client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /online-reception/ HTTP/1.1", upstream: "fastcgi://unix:/home/bayeer/.phpbrew/php/php-5.6.37/var/run/php-fpm.sock:", host: "bxgkhbur.loc"
2018/09/05 10:44:00 [error] 1172#1172: *1 connect() to unix:/home/bayeer/.phpbrew/php/php-5.6.37/var/run/php-fpm.sock failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: bxgkhbur.loc, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/home/bayeer/.phpbrew/php/php-5.6.37/var/run/php-fpm.sock:", host: "bxgkhbur.loc"
